rowid;categoria;sku;marca;preco;img
373;sorveteria;1202;Selecta Creme De Cookies Branco 3KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520255/db7254beb2.jpg
374;sorveteria;1173;Corante Duas Rodas Roxo Vinho 12X100G;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520249/71f548f002.jpg
375;sorveteria;2858;Palito KV Theoto Caixa Com 10.000 Und;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520241/6ddc3f25d7.jpg
376;sorveteria;496;Emulsificante Neutro  XP3000 20 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520167/7bf7c5b7f7.jpg
377;sorveteria;434;Emulsificante Neutro Selecta UF 10 20 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520160/287cf2e8b1.jpg
378;sorveteria;180;Estabilizante AQUA 5 15KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520146/75a821ebeb.jpg
379;sorveteria;2179;Chocolat Crema Avelã 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115193518/36dc699d05.jpg
380;sorveteria;2063;Chocolat Cioccochella Com Avelã 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115193404/98b2564190.jpg
381;sorveteria;2859;Chocolat Cookies Cream 12 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115175785/602b6ef16d.jpg
382;sorveteria;2231;Chocolat Torta de Limão 12 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115175761/c2a286f060.jpg
383;sorveteria;2221;Chocolat Crema Avelã 12 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115175747/6ade7ad5c3.jpg
384;sorveteria;2219;Chocolat Seleção Trufa Premium 12 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115175735/1ebd981b55.jpg
385;sorveteria;2173;Chocolat Cocco Bianco 12 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115175729/9c1a2b9d74.jpg
386;sorveteria;2077;Chocolat Cioccochella Com Avelã 12 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115175719/c9c178291c.jpg
387;sorveteria;816;Chocolat Trufa Americana 20KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115175679/12f9c319c7.jpg
388;sorveteria;1198;Pasta Saborizante Nata Zero 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115171638/cc57c3160f.jpg
389;sorveteria;2229;Chocolat Brigadeiro Artesanalle 12 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115171622/9b1f0cf14d.jpg
390;sorveteria;2216;Chocolat Amendocrema 12 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115171608/a3fa9e4520.jpg
391;sorveteria;938;Pasta Saborizante Iogurte Grego Zero 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115171534/8b2b145207.jpg
392;sorveteria;933;Pasta Saborizante Coco Zero 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115171519/e2f9a87f69.jpg
393;sorveteria;489;Chocolat Chocolate Ao Coco 12 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115171456/3ea852460c.jpg
394;sorveteria;1842;Variegato Frutas Amarelas 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115171426/b8d3aed71b.jpg
395;sorveteria;536;Saborizante Sorvete Algemix Selecta - Uva20 Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114587501/32207712fd.jpg
396;sorveteria;535;Saborizante Sorvete Algemix Selecta - Nata 20 Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114587493/e2d7d6c5c4.jpg
397;sorveteria;533;Saborizante Sorvete Algemix Selecta - Morango 20 Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114587471/27ce348901.jpg
398;sorveteria;532;Saborizante Sorvete Algemix Selecta - Maracujá 20 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114587463/034078aad7.jpg
399;sorveteria;525;Saborizante Sorvete Algemix Selecta - Coco 20 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114587450/bc82098709.jpg
400;sorveteria;491;Saborizante Sorvete Algemix Selecta - Abacaxi 20 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114587439/4f1f777297.jpg
401;sorveteria;285;Saborizante Sorvete Algemix Selecta - Chocolate Branco 20 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114587403/03f7174358.jpg
402;sorveteria;1467;Saborizante Sorvete Algemix Selecta - Chocolate Suíço 15 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114587339/2313db682b.jpg
403;sorveteria;1233;Variegato Banana Flambada 1 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114334292/bb7d5d1e3b.jpg
404;sorveteria;2129;Variegato Frutas do Bosque 12 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114334245/18630e1e5e.jpg
405;sorveteria;1229;Variegato Frutos do Bosque Zero 1 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114334210/67f9aeeccd.jpg
406;sorveteria;1234;Variegato Damasco 1 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114314617/73a669e41c.jpg
407;sorveteria;1231;Variegato Maracujá Zero 1 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114314598/858faebf79.jpg
408;sorveteria;1228;Variegato Morango Zero 1 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114314582/9a83a4ae27.jpg
409;sorveteria;1227;Chocolat Gianduia 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114270059/8f5c847f47.jpg
410;sorveteria;2223;Chocolat Leitinho 12 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114270049/182a610c09.jpg
411;sorveteria;1871;Chocolat Crema Di Ciocco 12 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114270033/1daf77f696.jpg
412;sorveteria;1763;Chocolat Trufa 12 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114270025/cf0913d187.jpg
413;sorveteria;2137;Chocolat Leitinho 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114269974/2a626c291f.jpg
414;sorveteria;1678;Chocolat Trufa 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114269971/827701a15e.jpg
415;sorveteria;1566;Selecta TOP Uva 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114266829/bfa69ad388.jpg
416;sorveteria;1477;Selecta TOP Doce de Leite 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114266821/3f96c491fd.jpg
417;sorveteria;930;Chocolat Cioccochella Com Avelã Zero 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114266809/82e93dab84.jpg
418;sorveteria;927;Chocolat Crema Leitinho Zero 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114266797/e64e3520c9.jpg
419;sorveteria;925;Chocolat Cocco Bianco Zero 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114266790/dc05ea55a5.jpg
420;sorveteria;276;Cobertura Esquimó Stracciatella Chocolate ao Leite 3;5KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114266763/51afa61544.jpg
421;sorveteria;273;Cobertura Esquimó Stracciatella Chocolate Meio Amargo 3;5KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114266756/eae387b3ca.jpg
422;sorveteria;924;Chocolat Creme De Avelã Com Cacau Zero 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114266753/96a33106e7.jpg
423;sorveteria;1306;Chocolat Aera Chocolate Branco 2;02KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114263453/099b385462.jpg
424;sorveteria;1281;Chocolat Aera Chocolate ao Leite 1;01KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114263361/53b6580668.jpg
425;sorveteria;1280;Chocolat Aera Chocolate ao Leite 2;02KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114263320/2d51b130a7.jpg
426;sorveteria;1222;Chocolat Cioccochella Com Avelã Zero 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114263282/0cf0c9cbbc.jpg
427;sorveteria;1221;Chocolat Trufa Premium Zero 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114263234/d7cd585b28.jpg
428;sorveteria;1201;Chocolat Trufa Premium 00 Zero 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114263183/1abc98f146.jpg
429;sorveteria;1200;Chocolat Trufa Premium 00 Zero 2;02 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114263135/1ed36387c9.jpg
430;sorveteria;923;Chocolat Chocolate Ao Coco Zero 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114263058/bdd8ce44be.jpg
431;sorveteria;1232;Variegato Amarena 1 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249222/963c41ef78.jpg
432;sorveteria;1197;Variegato Abóbora com Coco 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249216/67caabd845.jpg
433;sorveteria;2195;Variegato Laranja 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249211/51125e7010.jpg
434;sorveteria;2011;Chocolat Torta de Limão 2;02 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249207/3ee441325c.jpg
435;sorveteria;2008;Variegato Frutas Verdes 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249203/567344e981.jpg
436;sorveteria;1985;Chocolat Cocco Bianco 2;02 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249176/64cca20e44.jpg
437;sorveteria;1982;Chocolat Café Moka 2;02 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249166/83d76fa7a2.jpg
438;sorveteria;1849;Chocolat Cioccotine 2;02 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249159/bbde820949.jpg
439;sorveteria;922;Variegato Frutas do Bosque Zero 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249140/0e2276f745.jpg
440;sorveteria;921;Variegato Goiabada Mineira Zero 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249132/9959428462.jpg
441;sorveteria;920;Variegato Caja Zero 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249127/471401e1fa.jpg
442;sorveteria;1189;Polpa J.E.B. Amora 4;1 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113015558/3234ab7338.jpg
443;sorveteria;2234;Pasta Saborizante Morango Zero 2 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112824805/100739ac5d.jpg
444;sorveteria;1696;Leite em pó Integral Primalatte 25 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112659201/7e86b6bf57.jpg
445;sorveteria;2883;Leite em pó Modificado Leitino 25 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112659186/ec26b3fa89.jpg
446;sorveteria;1620;Cobertura Esquimó Plus Meio Amargo 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112601036/8306a89b3c.jpg
447;sorveteria;1680;Cobertura Esquimó Plus Ao Leite 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112601007/6d4d80ca34.jpg
448;sorveteria;713;Cobertura Esquimó Supreme Ao Leite 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112600992/2659659154.jpg
449;sorveteria;351;Cobertura Esquimó Supreme Branco 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112600983/27945cde74.jpg
450;sorveteria;1103;Polpa J.E.B. Ameixa 4;7 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112460989/70aea6beb7.jpg
451;sorveteria;1112;Polpa J.E.B. Pêssego 4;1 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112460908/dd21602b00.jpg
452;sorveteria;1243;Cobertura de Abacaxi Kids 300 G;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/104281904/4e05743483.jpg
453;sorveteria;1244;Cobertura de Abacaxi Kids 1;3KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/104073079/a24353f5f4.jpg
454;sorveteria;1242;Cobertura de Blue Ice Kids 300 G;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/104073043/f72755a301.jpg
455;sorveteria;217;Choco Power Ball Ao Leite Mavalério 500 G;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/102188745/5ac96bbf75.jpg
456;acaiteria;1520;Chocolate Gotas Melken Ao Leite Harald 2;05 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/129625786/214490a0d4.jpg
457;acaiteria;671;Selecta Tropical Açaí 1Kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/52962876/cd986e6c61.jpg
458;acaiteria;1546;Topping Base Tipo Chantilly 400 g;R$ 16;https://cdn.awsli.com.br/300x300/1284/1284671/produto/127226837/711711067c.jpg
459;acaiteria;1516;Cobertura Gotas Top Meio Amargo Harald 2;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549624/336cb0fd36.jpg
460;acaiteria;572;Flocos Crocantes De Chocolate Vabene 750G;R$ 16;https://cdn.awsli.com.br/300x300/1284/1284671/produto/126350544/cebc963692.jpg
461;acaiteria;2126;Xarope Guaraná São Braz 5l;R$ 48;https://cdn.awsli.com.br/300x300/1284/1284671/produto/55263360/9984752737.jpg
462;acaiteria;1534;Cobertura de Chocolate Meio Amargo 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54206919/acaf2e9b27.jpg
463;acaiteria;151;Fini Bala de Gelatina de Chiclete Melancia 500 G;R$ 21;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98099407/d442b3b23b.jpg
464;acaiteria;1918;Fini Bala de Gelatina Beijos de Morango 500 G;R$ 23;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98098623/2e3f5b8418.jpg
465;acaiteria;1845;Fini Bala de Gelatina Banana 500 G;R$ 23;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98098619/76570f7261.jpg
466;acaiteria;1844;Fini Bala de Gelatina Amora 500 G;R$ 23;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98098616/93000c840f.jpg
467;acaiteria;144;Fini Bala de Gelatina Aros de Morango 500 G;R$ 23;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98098602/307c0c0f6f.jpg
468;acaiteria;2040;Cobertura de Banana Caramelizada 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91239503/b762b4538e.jpg
469;acaiteria;325;Cobertura de Caramelo 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91238551/73eae15480.jpg
470;acaiteria;505;Cobertura de Doce de Leite 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91237558/eed2d39f85.jpg
471;acaiteria;326;Cobertura de Chocolate 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91220859/5d34920c7e.jpg
472;acaiteria;379;Cobertura de Morango 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/90123657/2ce68be6f0.jpg
473;acaiteria;216;Granulado Mavalério Branco 500gr;R$ 8;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56692230/08e9f82848.jpg
474;acaiteria;215;Granulado Colorido Mavalério 1;01kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56692108/c7433932dc.jpg
475;acaiteria;1218;Leite Condensado Piracanjuba BAG 5Kg;R$ 67;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56457220/semi-desnatado-6w9roh85sb.JPG
476;acaiteria;549;Biscoito Granulado Negresco Nestlé 1kg;R$ 55;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54956204/65013169c3.jpg
477;acaiteria;107;Leite Condensado Moça Nestlé  2;6Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54951598/leite-cond--moca-nestle---lt-2-6-kg-z991z8q3sq.JPG
478;acaiteria;1594;Chocolate Granulado Crocante Mavalério 1;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54305455/b501f6d207.jpg
479;acaiteria;1482;Cobertura de Açaí 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54207821/ed5334c505.jpg
480;acaiteria;143;Cobertura de Amora com Polpa 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54207786/b5c9527c1d.jpg
481;acaiteria;1484;Cobertura de Kiwi 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54203107/95e34434d8.jpg
482;acaiteria;587;Cobertura de Leite Condensado 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54202434/bd5a333775.jpg
483;acaiteria;653;Cobertura de Limão 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54202397/360f13bb75.jpg
484;acaiteria;1653;Cobertura de Maracujá Com Polpa 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54202240/e013bf8c3e.jpg
485;acaiteria;1494;Cobertura de Cassis 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54164964/9a97be59b1.jpg
486;acaiteria;2039;Cobertura de Abacaxi 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54164804/cbfa16c7fd.jpg
487;acaiteria;414;Cobertura de Baunilha 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54157371/dc59f45ed5.jpg
488;acaiteria;2914;Leite Condensado Integral 5Kg Camponesa;R$ 72;https://cdn.awsli.com.br/300x300/1284/1284671/produto/330568498/1734378687825-leite-condensado-integral-5kg-camponesa-jpg-3zafw11rt8.jpg
489;acaiteria;2903;Leite Condensado Semidesnatado 5Kg Camponesa;R$ 63;https://cdn.awsli.com.br/300x300/1284/1284671/produto/330568485/1734378693335-leite-condensado-semidesnatado-5kg-camponesa-jpg-78twfllj1h.jpg
490;acaiteria;1711;Cobertura Gotas Genuine Ao Leite Cargill 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530926/choc--gotas--moeda--ao-leite-genuine-top--cargill--2-05kg-jud5j5w3nu.JPG
491;acaiteria;1385;Crocante de Castanha de Caju Vabene;R$ 33;https://cdn.awsli.com.br/300x300/1284/1284671/produto/229981327/crocante-vabene-castanha-de-caju-1kg-pote-cjozjetw0c.jpg
492;acaiteria;2450;Chocolate Recheio Macio Lollo Caixa com 30 und x 28g;R$ 84;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902416/lolo-j45qcisvmk.JPG
493;acaiteria;2447;Chocolate KITKAT Fingers ao Leite caixa com 24 und x 41;5g;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902411/kit-kat-caixa-k9rk3pfuin.JPG
494;acaiteria;2445;Chocolate Baton Ao Leite Garoto Caixa com 30 und x 16gr;R$ 45;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902407/baton-bfznafkc9s.JPG
495;acaiteria;2444;Chocolate Baton Branco Garoto Caixa com 30 und x 16g;R$ 41;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902405/baton-branco-sv0yykj59o.JPG
496;acaiteria;2358;Saborizante Chocolate Com Avelã 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/225128123/cacau-po-selecta-100----1-01-kg-ekwmdyk4qb.JPG
497;acaiteria;2377;Chocolate Amandita 200g;R$ 15;https://cdn.awsli.com.br/300x300/1284/1284671/produto/220119316/amandita-hybynru0k0.JPG
498;acaiteria;1946;Cobertura e recheio Chocolate Xamego Bom 2 KG;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/166798166/7ea174339e.jpg
499;acaiteria;1942;Granola Tradicional Feinkost 1 KG;R$ 26;https://cdn.awsli.com.br/300x300/1284/1284671/produto/166283126/598cc91f76.jpg
500;acaiteria;968;Colher Açaí Reforçada Lilás Caixa com 500 unidades;R$ 75;https://cdn.awsli.com.br/300x300/1284/1284671/produto/162520933/c5694ecdb5.jpg
501;acaiteria;1460;Cobertura Gotas Top Blend Harald 2;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549636/7392039208.jpg
502;acaiteria;1514;Cobertura Gotas Top Ao Leite Harald 2;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549620/63ef10630c.jpg
503;acaiteria;1458;Cobertura Gotas Top Branco Harald 2;05Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549615/5701099c60.jpg
504;acaiteria;1429;Saborizante Sorvete Algemix Selecta - Chocolate Suíço 1KG;R$ 101;https://cdn.awsli.com.br/300x300/1284/1284671/produto/128388130/ec6c490ff0.jpg
505;acaiteria;1069;Cookies Granulados Vabene 1KG;R$ 27;https://cdn.awsli.com.br/300x300/1284/1284671/produto/126350527/ad2a578c90.jpg
506;acaiteria;1557;Ovomaltine Flocado Crocante 750 G;R$ 41;https://cdn.awsli.com.br/300x300/1284/1284671/produto/119565857/94a1449589.jpg
507;acaiteria;1485;Cobertura de Tutti Fruti 1.3 KG;R$ 20;https://cdn.awsli.com.br/300x300/1284/1284671/produto/118646830/78dd36ae14.jpg
508;acaiteria;2152;Selecta Plus Base Para Açaí 10 KG;R$ 344;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520223/7405379033.jpg
509;acaiteria;2092;Selecta Plus Base Para Açaí 1 KG;R$ 37;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520219/4262fead5d.jpg
510;acaiteria;568;Farofa Crocante de Amendoim Sem Sal Vabene 1;05 Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520188/f00706d97e.jpg
511;acaiteria;564;Farinha  de Amendoim Sem Sal Vabene 1;05 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520185/29ba9af4c9.jpg
512;acaiteria;563;Amendoim Granulado Sem Sal Vabene 1;05 Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520181/5a6960c4cc.jpg
513;acaiteria;1341;Chocolate Bis Laka Lacta 100;8G;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115193544/0fa162e6a4.jpg
514;acaiteria;1336;Chocolate Bis Ao Leite Lacta 100;8G;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115193534/0fd4496f33.jpg
515;acaiteria;1291;Bombom Lacta Sonho De Valsa 1KG;R$ 60;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115193421/a1f5263817.jpg
516;acaiteria;1507;Cobertura de Caramelo 300 G;R$ 7;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114498263/861ab85496.jpg
517;acaiteria;1492;Cobertura de Chocolate 300 G;R$ 9;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114498221/c180520486.jpg
518;acaiteria;1483;Cobertura de Groselha 1;3 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114498170/1f99fa5a20.jpg
519;acaiteria;1506;Cobertura de Morango 300 G;R$ 6;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114498003/10983dde91.jpg
520;acaiteria;1292;Bombom Lacta Ouro Branco 1KG;R$ 60;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114263403/16235c0994.jpg
521;acaiteria;1241;Cobertura de Chiclets Kids 300 G;R$ 8;https://cdn.awsli.com.br/300x300/1284/1284671/produto/104281895/35f4961ec2.jpg
522;acaiteria;1245;Cobertura de Blue Ice Kids 1;3 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/104279702/1999cef160.jpg
523;acaiteria;1246;Cobertura de Chiclets Kids 1;3KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/104073121/5287c3f92b.jpg
524;acaiteria;558;Choco Power Ball Mini Branco/Leite Vabene 500 G;R$ 18;https://cdn.awsli.com.br/300x300/1284/1284671/produto/102188758/vabene-confeitos-mini-misto-500g-e61wi3oq7i.jpg
525;acaiteria;552;Choco Power Ball Micro Branco/Leite Vabene - 500 G;R$ 18;https://cdn.awsli.com.br/300x300/1284/1284671/produto/102188753/vabene-confeitos-micro-misto-500g-te5w7mx73v.jpg
526;acaiteria;1518;Chocolate Gotas Melken Branco Harald 2;05 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549633/72a4bc96c5.jpg
527;acaiteria;2459;Ovomaltine Rocks 550 g;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/227856886/ovomaltine-rocks-7j66hniq5m.jpg
528;acaiteria;1847;Fini Bala de Gelatina Dentadura 500 G;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98099417/97062ef080.jpg
529;acaiteria;1564;Cobertura de Caramelo Toffe 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91240702/7b6a4bc420.jpg
530;acaiteria;66;Chocolate Granulado Mácio MIX;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88871373/fc523cfc35.jpg
531;acaiteria;2113;Leite Condensado Aurea Bag 5Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60388376/c49fc5c31a.jpg
532;acaiteria;2131;Granulado Macio Salware 1;01 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56690409/6f924b20f1.jpg
533;acaiteria;2041;Cobertura de Frutas Vermelhas 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54204024/d5347f6f40.jpg
534;acaiteria;675;Cobertura de Menta 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54202186/6ae4cb71f9.jpg
535;acaiteria;631;Cobertura de Uva 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54202158/782297df7b.jpg
536;acaiteria;2682;Leite Condensado Semi Desnatado Itambé 5kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/266940725/leite-cond--itambe--semi-desnat-----bag-5-kg-3njz9vqr2w.jpg
537;acaiteria;1717;Cobertura Gotas Genuine Meio Amargo Cargill 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/238371167/choc--gotas--moeda--m--amargo-genuine-top--cargill--2-05kg-9ohcvy8zla.JPG
538;acaiteria;2516;Cobertura Mais Sicao Branco Gotas 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530939/choc--gotas--moeda--branco-sicao-top---2-05-kg-u25kzlf55v.JPG
539;acaiteria;2515;Cobertura Mais Sicao Blend Gotas 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530938/choc--gotas--moeda--blend-sicao-top---2-05-kg-qm3gc2ylai.JPG
540;acaiteria;2514;Cobertura Mais Sicao Ao Leite Gotas 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530935/choc--gotas--moeda--ao-leite-sicao-top---2-05-kg-55tdb1mdw6.JPG
541;acaiteria;2513;Cobertura Mais Sicao Meio Amargo Gotas 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530934/choc--gotas--moeda--meio-amargo-sicao-top---2-05-kg-902lg4ghwf.JPG
542;acaiteria;2512;Chocolate Nobre Sicao Blend Gotas 2;05 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530933/choc--gotas--moeda--blend-sicao-nobre---2-05-kg-r6e04gjezm.JPG
